72 , 80 , 
76 , 67 , 
75 , 71 , 
78 , 71 , 
74 , 76 , 
73 , 71 , 
73 , 70 , 
74 , 68 , 
67 , 74 , 
81 , 74 , 
76 , 73 , 
80 , 75 , 
73 , 70 , 
77 , 72 , 
78 , 75 , 
75 , 75 , 
80 , 77 , 
78 , 76 , 
77 , 69 , 
79 , 74 , 
75 , 78 , 
66 , 71 , 
78 , 70 , 
75 , 72 , 
77 , 71 , 
77 , 71 , 
75 , 76 , 
77 , 77 , 
72 , 76 , 
66 , 75 , 
81 , 79 , 
80 , 71 , 
83 , 74 , 
73 , 72 , 
70 , 69 , 
79 , 81 , 
73 , 73 , 
78 , 81 , 
83 , 74 , 
82 , 68 , 
69 , 73 , 
84 , 75 , 
71 , 76 , 
72 , 76 , 
77 , 70 , 
77 , 76 , 
75 , 73 , 
68 , 79 , 
76 , 72 , 
76 , 71 , 
84 , 77 , 
85 , 68 , 
76 , 75 , 
77 , 64 , 
76 , 75 , 
65 , 72 , 
74 , 76 , 
77 , 81 , 
82 , 75 , 
77 , 71 , 
77 , 79 , 
81 , 74 , 
72 , 70 , 
76 , 77 , 
77 , 73 , 
76 , 71 , 
80 , 77 , 
84 , 75 , 
78 , 78 , 
66 , 71 , 
78 , 80 , 
77 , 72 , 
72 , 74 , 
72 , 76 , 
75 , 73 , 
74 , 80 , 
71 , 80 , 
75 , 78 , 
78 , 75 , 
75 , 75 , 
82 , 68 , 
71 , 78 , 
79 , 78 , 
75 , 70 , 
72 , 65 , 
74 , 82 , 
87 , 69 , 
71 , 73 , 
74 , 72 , 
82 , 75 , 
77 , 70 , 
74 , 76 , 
75 , 75 , 
78 , 69 , 
80 , 67 , 
67 , 77 , 
70 , 67 , 
76 , 78 , 
80 , 74 , 
78 , 77 , 
77 , 73 , 
79 , 83 , 
82 , 75 , 
72 , 72 , 
77 , 70 , 
81 , 79 , 
83 , 80 , 
70 , 75 , 
77 , 69 , 
79 , 73 , 
81 , 75 , 
80 , 82 , 
81 , 75 , 
78 , 75 , 
72 , 71 , 
80 , 78 , 
75 , 73 , 
82 , 76 , 
80 , 72 , 
71 , 79 , 
76 , 76 , 
76 , 73 , 
69 , 75 , 
77 , 69 , 
75 , 71 , 
85 , 78 , 
73 , 74 , 
75 , 81 , 
77 , 80 , 
79 , 79 , 
79 , 76 , 
75 , 77 , 
73 , 76 , 
80 , 70 , 
71 , 79 , 
75 , 74 , 
71 , 73 , 
77 , 75 , 
77 , 75 , 
77 , 83 , 
80 , 78 , 
74 , 70 , 
78 , 72 , 
76 , 72 , 
71 , 63 , 
70 , 76 , 
73 , 78 , 
67 , 70 , 
75 , 78 , 
74 , 75 , 
77 , 67 , 
79 , 75 , 
77 , 72 , 
80 , 73 , 
74 , 72 , 
72 , 77 , 
78 , 75 , 
72 , 77 , 
78 , 84 , 
85 , 78 , 
73 , 73 , 
75 , 74 , 
84 , 69 , 
76 , 60 , 
65 , 77 , 
66 , 77 , 
67 , 77 , 
78 , 74 , 
70 , 74 , 
81 , 74 , 
81 , 70 , 
82 , 70 , 
80 , 77 , 
79 , 68 , 
81 , 70 , 
78 , 72 , 
70 , 77 , 
78 , 68 , 
87 , 78 , 
72 , 72 , 
76 , 78 , 
73 , 69 , 
78 , 71 , 
77 , 74 , 
78 , 72 , 
80 , 75 , 
78 , 76 , 
75 , 72 , 
89 , 76 , 
72 , 74 , 
77 , 67 , 
73 , 77 , 
79 , 71 , 
74 , 68 , 
81 , 76 , 
77 , 76 , 
74 , 68 , 
79 , 74 , 
82 , 69 , 
83 , 73 , 
80 , 73 , 
72 , 71 , 
82 , 78 , 
77 , 79 , 
68 , 78 , 
78 , 69 , 
77 , 76 , 
69 , 77 , 
77 , 70 , 
80 , 72 , 
73 , 75 , 
80 , 69 , 
81 , 74 , 
75 , 71 , 
78 , 70 , 
74 , 76 , 
71 , 72 , 
76 , 66 , 
75 , 68 , 
77 , 73 , 
73 , 72 , 
80 , 71 , 
81 , 73 , 
81 , 75 , 
76 , 76 , 
76 , 75 , 
73 , 69 , 
87 , 76 , 
71 , 79 , 
70 , 71 , 
81 , 74 , 
77 , 76 , 
76 , 76 , 
80 , 76 , 
85 , 74 , 
78 , 72 , 
80 , 68 , 
76 , 68 , 
77 , 72 , 
