28,12
25,11
30,11
24,13
26,14
27,10
23,14
26,12
22,12
27,12
28,12
24,12
25,10
19,13
23,12
25,11
28,13
30,13
27,13
24,14
26,11
23,11
28,13
23,10
26,14
29,12
27,12
28,14
26,13
24,14
32,13
25,11
24,10
27,11
26,12
24,15
30,14
27,12
28,10
27,13
28,14
28,12
25,10
26,11
23,10
28,10
28,11
27,12
25,12
24,12
31,15
29,13
23,13
25,12
28,13
26,11
26,13
25,13
23,12
26,13
26,12
29,11
24,11
26,14
26,12
24,10
27,12
26,10
28,16
26,10
24,12
26,10
25,8
29,10
31,11
27,12
25,13
29,14
29,13
27,12
26,14
24,13
26,15
26,11
26,11
27,13
26,11
25,11
27,12
27,11
25,13
28,13
23,12
27,11
28,13
26,13
27,13
23,11
27,13
25,12
26,11
24,11
27,14
29,12
23,12
29,11
24,12
27,12
26,10
24,12
28,12
28,11
27,11
25,10
29,10
26,14
27,13
27,12
30,12
26,13
25,14
25,14
28,12
25,11
28,14
22,9
26,14
28,13
26,12
27,13
30,10
25,15
24,10
28,9
26,10
23,13
25,13
26,11
30,11
28,14
26,13
26,12
26,12
29,11
24,13
24,13
22,14
25,12
25,11
29,10
26,9
24,12
27,13
31,11
29,11
29,10
29,12
29,12
27,15
30,9
29,16
24,10
26,13
29,11
24,14
28,14
27,14
29,13
28,12
25,11
29,13
24,13
26,12
28,10
27,13
28,13
24,11
25,12
28,14
25,14
26,12
27,12
25,14
26,12
28,12
28,12
27,9
28,9
32,11
27,13
28,10
27,14
28,15
27,9
27,12
24,12
28,12
25,11
25,13
24,9
25,12
26,13
24,11
26,11
27,10
24,9
22,14
26,13
29,13
30,10
31,10
26,11
21,12
25,12
26,12
28,12
28,12
26,13
26,12
25,12
25,14
26,11
24,13
28,13
26,10
29,12
30,13
26,11
24,10
28,11
28,14
22,12
29,12
28,12
26,14
28,13
25,14
26,13
27,14
28,11
29,13
23,13
24,7
24,10
25,15
30,16
27,16
29,12
27,10
25,12
26,12
24,12
27,9
28,12
28,9
25,14
27,14
28,13
26,13
26,13
27,13
25,13
30,10
27,14
24,12
27,15
28,11
25,11
30,12
25,10
27,9
25,13
26,13
24,11
28,12
26,12
29,13
26,11
26,13
30,12
26,15
24,10
25,12
31,12
29,14
26,13
25,10
26,13
24,11
26,13
25,12
28,12
31,14
22,12
23,12
24,13
27,14
30,14
27,13
28,10
26,15
27,12
29,11
27,15
22,13
26,12
28,13
27,15
24,13
27,13
26,12
25,13
23,15
28,12
28,10
21,12
26,12
28,12
24,12
23,11
27,10
27,12
22,12
29,12
28,13
25,12
28,14
29,12
22,9
28,12
23,10
27,12
28,14
24,13
23,14
28,9
26,11
25,13
26,12
28,12
25,11
23,11
28,14
26,12
28,11
27,9
26,14
26,13
28,13
28,15
24,12
26,12
27,11
26,10
23,12
24,13
25,12
29,13
32,13
27,10
25,13
30,12
24,13
27,9
27,10
30,11
29,12
26,12
24,12
28,13
29,12
26,12
27,16
23,12
30,11
27,9
22,13
28,13
27,14
31,12
26,13
26,12
27,12
23,13
28,11
30,11
24,10
26,12
23,13
29,11
26,10
25,11
29,15
26,11
29,10
27,11
28,12
26,12
26,13
25,13
27,13
23,14
27,10
27,13
25,13
30,10
29,10
24,15
28,12
25,11
29,13
25,11
26,13
23,12
25,14
28,12
27,10
29,12
25,10
24,8
27,12
22,13
24,11
27,14
27,12
28,12
25,14
29,11
27,12
26,11
27,10
24,12
28,10
23,13
23,13
24,12
30,12
29,13
29,11
27,9
24,13
27,11
32,10
22,9
26,12
29,11
26,12
21,11
26,12
25,13
22,12
23,12
30,9
27,14
24,10
29,14
29,13
28,13
23,13
30,9
30,15
25,13
23,10
24,13
27,12
27,13
29,13
27,14
25,10
27,13
28,14
26,10
27,10
24,13
26,11
25,13
25,13
27,11
29,8
27,14
34,13
26,13
25,14
24,11
27,13
27,9
27,12
23,12
21,13
28,12
28,13
24,10
26,12
24,12
25,13
25,12
27,12
28,12
25,12
24,11
25,12
21,13
25,12
29,13
30,11
24,11
28,12
27,13
26,12
21,11
27,12
26,13
26,11
24,11
26,16
25,13
24,12
25,13
29,13
27,11
24,16
24,11
29,14
25,13
26,10
23,12
26,10
26,14
27,11
24,11
27,11
28,12
24,12
28,13
26,10
26,11
29,11
28,11
22,12
24,13
27,10
27,12
26,11
23,16
28,10
28,13
23,10
26,9
27,11
27,12
26,14
28,15
28,12
28,12
24,11
24,14
25,11
25,11
27,11
27,12
31,13
22,12
27,12
26,14
28,12
29,16
23,11
30,14
28,13
24,11
28,13
